pdate,name,weekday,volumn,open,high,low,close,adjclose
1998/7/20,^TWII,1,0,8075.859863,8075.859863,8014.700195,8047.640661,8047.640661
1998/7/21,^TWII,2,0,8076.580078,8092.439941,7940.620117,7949.171293,7949.171293
1998/7/22,^TWII,3,0,7872.899902,7881.060059,7794.080078,7881.031404,7881.031404
1998/7/23,^TWII,4,0,7866.390137,7934.580078,7860.209961,7879.861486,7879.861486
1998/7/24,^TWII,5,0,7813.790039,7902.399902,7812.580078,7902.37117,7902.37117
1998/7/27,^TWII,1,0,7935.310059,7935.310059,7882.470215,7890.271116,7890.271116
1998/7/28,^TWII,2,0,7941.379883,7950.839844,7822.129883,7830.111667,7830.111667
1998/7/29,^TWII,3,0,7818.180176,7842.120117,7761.879883,7775.301808,7775.301808
1998/7/30,^TWII,4,0,7808.850098,7808.850098,7723.910156,7730.402069,7730.402069
1998/7/31,^TWII,5,0,7792.22998,7797.930176,7653.310059,7653.481938,7653.481938
1998/8/3,^TWII,1,0,7715.799805,7715.799805,7588.759766,7599.01241,7599.01241
1998/8/4,^TWII,2,0,7573.029785,7639.419922,7573.029785,7593.112529,7593.112529
1998/8/5,^TWII,3,0,7524.830078,7543.279785,7482.819824,7499.702712,7499.702712
1998/8/6,^TWII,4,0,7567.640137,7568.560059,7455.450195,7471.713068,7471.713068
1998/8/7,^TWII,5,0,7501.27002,7542.879883,7446.970215,7529.992641,7529.992641
1998/8/10,^TWII,1,0,7477.899902,7487.009766,7367.02002,7372.093313,7372.093313
1998/8/11,^TWII,2,0,7361.189941,7398,7338.850098,7383.953133,7383.953133
1998/8/12,^TWII,3,0,7301.52002,7351.509766,7276.240234,7351.483036,7351.483036
1998/8/13,^TWII,4,0,7433.390137,7447.299805,7362.549805,7362.523035,7362.523035
1998/8/14,^TWII,5,0,7345.529785,7355.149902,7275.600098,7348.013322,7348.013322
1998/8/17,^TWII,1,0,7352.279785,7352.279785,7248.140137,7273.823651,7273.823651
1998/8/18,^TWII,2,0,7284.600098,7284.600098,7088.72998,7181.563732,7181.563732
1998/8/19,^TWII,3,0,7261.850098,7322.370117,7259.629883,7293.373384,7293.373384
1998/8/20,^TWII,4,0,7289.890137,7311.75,7257.189941,7270.813408,7270.813408
1998/8/21,^TWII,5,0,7268.140137,7277.240234,7195.049805,7213.34389,7213.34389
1998/8/24,^TWII,1,0,7128.970215,7128.970215,6952.009766,6957.724702,6957.724702
1998/8/25,^TWII,2,0,6948.950195,6948.950195,6811.430176,6908.30496,6908.30496
1998/8/26,^TWII,3,0,6996.319824,7017.399902,6813.459961,6814.305302,6814.305302
1998/8/27,^TWII,4,0,6706.319824,6820.709961,6665.950195,6813.275032,6813.275032
1998/8/28,^TWII,5,0,6625.370117,6802.950195,6615.939941,6723.745573,6723.745573
1998/8/31,^TWII,1,0,6776.149902,6776.149902,6547.430176,6550.086048,6550.086048
1998/9/1,^TWII,2,0,6350.129883,6361.580078,6219.890137,6335.06681,6335.06681
1998/9/2,^TWII,3,0,6450.419922,6518.109863,6388.069824,6471.656646,6471.656646
1998/9/3,^TWII,4,0,6372.359863,6391.859863,6240.689941,6251.357154,6251.357154
1998/9/4,^TWII,5,0,6254.830078,6463.149902,6254.830078,6463.126403,6463.126403
1998/9/7,^TWII,1,0,6769.620117,6822.970215,6707.640137,6800.705254,6800.705254
1998/9/8,^TWII,2,0,6820.189941,6942.259766,6820.189941,6942.234524,6942.234524
1998/9/9,^TWII,3,0,7017.279785,7017.279785,6846.5,6894.544756,6894.544756
1998/9/10,^TWII,4,0,6803.259766,6915.069824,6780.779785,6803.80534,6803.80534
1998/9/11,^TWII,5,0,6745.52002,6858.990234,6682.910156,6841.805202,6841.805202
1998/9/14,^TWII,1,0,6884.819824,6922.959961,6852.080078,6860.144979,6860.144979
1998/9/15,^TWII,2,0,6925.220215,6925.220215,6816.169922,6857.935026,6857.935026
1998/9/16,^TWII,3,0,6877.899902,6972.540039,6851.299805,6972.514688,6972.514688
1998/9/17,^TWII,4,0,7036.870117,7060.72998,6996.689941,7000.494566,7000.494566
1998/9/18,^TWII,5,0,6929.240234,7000.27002,6929.240234,6961.734453,6961.734453
1998/9/21,^TWII,1,0,7218.390137,7218.390137,6988.97998,7029.374344,7029.374344
1998/9/22,^TWII,2,0,7090.089844,7090.089844,6984.839844,7033.96466,7033.96466
1998/9/23,^TWII,3,0,7065.009766,7086.779785,6951.609863,6962.144608,6962.144608
1998/9/24,^TWII,4,0,7045.580078,7045.580078,6974.089844,6979.924817,6979.924817
