pdate,weekday,column,open,high,low,close,adjclose,change,changePercent
2003/10/9,4,5663800,5817.720215,5872.97998,5800.819824,5869.879883,5869.858541,48.080078,0.008258628
2003/10/13,1,5974400,5907.209961,5979.830078,5906.959961,5972.470215,5972.4485,102.590332,0.017477416
2003/10/14,2,5765200,6020.220215,6020.220215,5938.419922,5938.419922,5938.39833,-34.050293,-0.005701208
2003/10/15,3,4999200,5967.930176,5978.470215,5913.279785,5924.379883,5924.358342,-14.040039,-0.002364272
2003/10/16,4,5853600,5935.149902,6037.529785,5928.700195,6035.740234,6035.718289,111.360351,0.018796963
2003/10/17,5,5692800,6063.399902,6077.600098,6016.100098,6042.709961,6042.68799,6.969727,0.001154743
2003/10/20,1,5222200,6041.529785,6085.620117,6026.390137,6077.890137,6077.868038,35.180176,0.00582192
2003/10/21,2,5632800,6105.029785,6116.580078,6017.259766,6061.459961,6061.437922,-16.430176,-0.00270327
2003/10/22,3,5205200,6046.040039,6075.75,6013.080078,6041.859863,6041.837896,-19.600098,-0.003233561
2003/10/23,4,4315000,5971.419922,5997.819824,5938.669922,5952.22998,5952.208339,-89.629883,-0.014834817
2003/10/24,5,3558400,5972.850098,5990.720215,5918.140137,5918.140137,5918.118619,-34.089843,-0.005727239
2003/10/27,1,2830800,5946.02002,5976.379883,5941.089844,5958.549805,5958.52814,40.409668,0.006828103
2003/10/28,2,5177800,5997.299805,6087.319824,5994.870117,6075.450195,6075.428106,116.90039,0.019618933
2003/10/29,3,5204000,6173.850098,6173.850098,6080.399902,6095.870117,6095.847953,20.419922,0.003361055
2003/10/30,4,4352000,6110.259766,6119.060059,6066.620117,6108.129883,6108.107674,12.259766,0.002011159
2003/10/31,5,4782400,6110.779785,6117.859863,6029.540039,6045.120117,6045.098138,-63.009766,-0.010315721
2003/11/3,1,4430600,6054.310059,6098.009766,6024.970215,6087.450195,6087.428062,42.330078,0.007002355
2003/11/4,2,5516200,6147.049805,6167.149902,6106.939941,6108.990234,6108.968023,21.540039,0.003538434
2003/11/5,3,4705600,6120.200195,6156.509766,6102.419922,6142.319824,6142.297491,33.32959,0.005455826
2003/11/6,4,6915800,6160.850098,6182.200195,5958.870117,6013.399902,6013.378038,-128.919922,-0.0209888
2003/11/7,5,4555400,6054.620117,6062.950195,5974.109863,6056.830078,6056.808056,43.430176,0.007222233
2003/11/10,1,4063400,6053.140137,6094.700195,6024.660156,6059.029785,6059.007755,2.199707,0.000363178
2003/11/11,2,3963800,6028.790039,6047.319824,5971.129883,6022.080078,6022.058183,-36.949707,-0.006098288
2003/11/12,3,4187000,6024.040039,6048.540039,5982.75,5982.75,5982.728247,-39.330078,-0.006530979
2003/11/13,4,4276200,6054.049805,6060.790039,6007.100098,6035.439941,6035.417997,52.689941,0.008806977
2003/11/14,5,3800600,6040.310059,6059.660156,6007.930176,6044.77002,6044.748041,9.330079,0.001545882
2003/11/17,1,3458000,6011.740234,6011.740234,5942.410156,5952.319824,5952.298182,-92.450196,-0.015294245
2003/11/18,2,3600400,5941.819824,5966.509766,5890.879883,5939.470215,5939.44862,-12.849609,-0.002158756
2003/11/19,3,3491000,5881.609863,5893.580078,5826.589844,5865.509766,5865.488439,-73.960449,-0.012452365
2003/11/20,4,3220800,5872.609863,5901.109863,5828.410156,5834.240234,5834.219022,-31.269532,-0.005331085
2003/11/21,5,2985400,5787.990234,5830.060059,5749.189941,5830.060059,5830.038861,-4.180175,-0.00071649
2003/11/24,1,2677000,5845.490234,5849.410156,5802.689941,5821.580078,5821.558912,-8.479981,-0.001454527
2003/11/25,2,3762600,5899.890137,5917.700195,5857.359863,5861.180176,5861.158865,39.600098,0.006802294
2003/11/26,3,2353400,5872.189941,5881.459961,5846.890137,5860.609863,5860.588555,-0.570313,-9.73E-05
2003/11/27,4,2604000,5852.47998,5856.819824,5740.569824,5740.569824,5740.548952,-120.040039,-0.020482517
2003/11/28,5,2753600,5804.819824,5836.089844,5758.850098,5771.77002,5771.749034,31.200196,0.005435035
2003/12/1,1,3041200,5768.689941,5878.129883,5752.149902,5870.169922,5870.148579,98.399902,0.017048479
2003/12/2,2,3224200,5919.22998,5921.109863,5884.319824,5911.450195,5911.428702,41.280273,0.007032211
2003/12/3,3,2948000,5921.580078,5927.560059,5882.080078,5884.970215,5884.948818,-26.47998,-0.004479439
2003/12/4,4,2890200,5895.279785,5927.370117,5888.22998,5920.459961,5920.438435,35.489746,0.006030574
2003/12/5,5,2708800,5937.410156,5945.529785,5900.049805,5900.049805,5900.028353,-20.410156,-0.003447394
